seriali	serialh	surveyyr	Outcome	IOut	ScrType	DMHSize7	Sex	AgeR	MarSt2_r	LiveW2	WrkStat	PTWork	EverWk	natidgby5_r	natidniy5_r	natiduky5	ethgrp5	ethgrp2	RelHRPr	Rel01r	Rel02r	Rel03r	Rel04r	Rel05r	Rel06r	Rel07r	Country
100712041	10071204	10	110	-1	1	3	2	47	4	2	2	-1	-1	4	-1	5	1	1	0	0	2	2	-1	-1	-1	-1	101
100712042	10071204	10	110	-1	1	3	1	24	1	2	2	-1	-1	4	-1	5	1	1	3	3	0	4	-1	-1	-1	-1	101
100712043	10071204	10	110	110	1	3	1	22	1	2	2	-1	-1	4	-1	5	1	1	3	3	4	0	-1	-1	-1	-1	101
100712071	10071207	10	110	-1	2	3	2	29	2	-1	2	-1	-1	4	-1	5	1	1	0	0	1	2	-1	-1	-1	-1	101
100712072	10071207	10	110	-1	2	3	1	31	2	-1	2	-1	-1	4	-1	5	1	1	1	1	0	2	-1	-1	-1	-1	101
100712073	10071207	10	110	110	2	3	2	7	-1	-1	1	-1	-1	4	-1	5	1	1	3	3	3	0	-1	-1	-1	-1	101
100712091	10071209	10	110	-1	1	4	2	36	2	-1	2	-1	-1	1	-1	1	1	1	1	0	1	2	2	-1	-1	-1	101
100712092	10071209	10	110	110	1	4	1	33	2	-1	2	-1	-1	1	-1	1	1	1	0	1	0	2	2	-1	-1	-1	101
100712093	10071209	10	110	-1	1	4	1	8	-1	-1	1	-1	-1	4	-1	5	1	1	3	3	3	0	4	-1	-1	-1	101
100712094	10071209	10	110	110	1	4	1	4	-1	-1	3	-1	-1	4	-1	5	1	1	3	3	3	4	0	-1	-1	-1	101
100712131	10071213	10	110	110	1	1	1	74	5	-1	3	-1	1	1	-1	1	1	1	0	0	-1	-1	-1	-1	-1	-1	101
